time,outdoor_temp_C,global_irradiance_W_m2,effective_outdoor_temp_C,room_air_setpoint_C,dynamic_heating_balance_temp_C,is_night_setback,heating_degree_K,heat_loss_indicator_kW,usable_solar_gain_kW,space_user_modifier,dhw_user_modifier,is_vacation,space_heating_load_kW,dhw_load_kW,total_heat_load_kW
2025-07-03 09:00:00,20.7,206.0,23.845079360095497,20.0,15.0,0,0.0,0.0,34.20277211755402,1.0,1.0,0,2.5654642676231875e-100,12.104446876248792,12.104446876248792
2025-07-03 10:00:00,20.5,185.0,23.105150425078367,20.0,15.0,0,0.0,0.0,37.163479679787606,1.0,1.0,0,1.7196821259759629e-100,9.8827932982525,9.8827932982525
2025-07-03 11:00:00,22.6,486.0,22.99341154661989,20.0,15.0,0,0.0,0.0,53.02992885177807,1.0,1.0,0,1.1527374018508735e-100,13.526424673912048,13.526424673912048
2025-07-03 12:00:00,23.7,593.0,23.149708359198357,20.0,15.0,0,0.0,0.0,71.20991795888055,1.0,1.0,0,7.727029882756808e-101,16.594862763245526,16.594862763245526
2025-07-03 13:00:00,23.7,593.0,23.271432439226032,20.0,15.0,0,0.0,0.0,86.59894649675323,1.0,1.0,0,5.179583026728304e-101,15.76328242728862,15.76328242728862
2025-07-03 14:00:00,24.6,664.0,23.56531054330597,20.0,15.0,0,0.0,0.0,102.77690239387864,1.0,1.0,0,3.471978332921932e-101,11.85602050466136,11.85602050466136
2025-07-03 15:00:00,24.7,636.0,23.816302962583823,20.0,15.0,0,0.0,0.0,115.22843112057333,1.0,1.0,0,2.327336675958972e-101,8.406255345523716,8.406255345523716
2025-07-03 16:00:00,24.8,498.0,24.03389597695526,20.0,15.0,0,0.0,0.0,119.64311872357996,1.0,1.0,0,1.56006042776925e-101,8.294389088584468,8.294389088584468
2025-07-03 17:00:00,24.0,345.0,24.02639821339573,20.0,15.0,0,0.0,0.0,116.58897328615583,1.0,1.0,0,1.0457397777606629e-101,12.46592348127127,12.46592348127127
2025-07-03 18:00:00,22.8,193.0,23.755119888949967,20.0,15.0,0,0.0,0.0,107.25698343397318,1.0,1.0,0,7.009803359698267e-102,19.832289461497762,19.832289461497762
2025-07-03 19:00:00,22.0,64.0,23.36688874389843,20.0,15.0,0,0.0,0.0,93.63179699817263,1.0,1.0,0,4.6988117107737225e-102,26.788244388014427,26.788244388014427
2025-07-03 20:00:00,20.8,1.0,22.799094963805274,20.0,15.0,0,0.0,0.0,79.30199128784629,1.0,1.0,0,3.1497076822786427e-102,28.788412624778935,28.788412624778935
2025-07-03 21:00:00,18.5,0.0,21.84813852430988,20.0,15.0,0,0.0,0.0,67.12768637259659,1.0,1.0,0,2.1113121985838266e-102,24.355505976241485,24.355505976241485
2025-07-03 22:00:00,18.0,0.0,20.996933296099776,20.0,15.0,0,0.0,0.0,56.82235974859173,1.0,1.0,0,1.4152548901503177e-102,16.57585938659561,16.57585938659561
2025-07-03 23:00:00,17.3,0.0,20.179174545965257,20.0,15.0,0,0.0,0.0,48.09908909234293,1.0,1.0,0,9.486737231177245e-103,9.763829652007148,9.763829652007148
2025-07-04 00:00:00,16.2,0.0,19.298984252375543,20.0,15.0,0,0.0,0.0,40.714999900553764,1.0,1.0,0,6.359150137530745e-103,3.641243537315576,3.641243537315576
2025-07-04 01:00:00,15.9,0.0,18.547131597397446,20.0,15.0,0,0.0,0.0,34.464503344741935,1.0,1.0,0,4.262665812937151e-103,3.6412792798178724,3.6412792798178724
2025-07-04 02:00:00,15.8,0.0,17.93946823925333,20.0,15.0,0,0.0,0.0,29.173572238755494,1.0,1.0,0,2.8573503439625766e-103,3.643547413273645,3.643547413273645
2025-07-04 03:00:00,14.6,0.0,17.20078047977258,20.0,15.0,0,0.0,0.0,24.694895749882686,1.0,1.0,0,1.9153392141049444e-103,3.710467670513826,3.710467670513826
2025-07-04 04:00:00,15.2,25.0,16.758209404400866,20.0,15.0,0,0.0,0.0,22.013434455987007,1.0,1.0,0,1.2838902701726915e-103,4.617656316705069,4.617656316705069
2025-07-04 05:00:00,17.2,149.0,16.855933138193812,20.0,15.0,0,0.0,0.0,25.24752274263956,1.0,1.0,0,8.60617385006868e-104,10.107525325524076,10.107525325524076
2025-07-04 06:00:00,18.8,123.0,17.285959205682172,20.0,15.0,0,0.0,0.0,26.83107660811603,1.0,1.0,0,5.768890851368753e-104,23.752842167053664,23.752842167053664
2025-07-04 07:00:00,18.6,292.0,17.576624000397505,20.0,15.0,0,0.0,0.0,35.67280399369689,1.0,1.0,0,3.867003181064081e-104,33.07540546238968,33.07540546238968
2025-07-04 08:00:00,19.7,521.0,18.04631310875455,20.0,15.0,0,0.0,0.0,53.32161823364888,1.0,1.0,0,2.5921297503508385e-104,24.275679595530505,24.275679595530505
2025-07-04 09:00:00,19.6,600.0,18.38998743245027,20.0,15.0,0,0.0,0.0,71.7675315115559,1.0,1.0,0,1.7375565335855244e-104,12.104446876248792,12.104446876248792
2025-07-04 10:00:00,20.9,735.0,18.945200246873203,20.0,15.0,0,0.0,0.0,93.37380513063637,1.0,1.0,0,1.1647189755825748e-104,9.8827932982525,9.8827932982525
2025-07-04 11:00:00,21.2,790.0,19.44396018659564,20.0,15.0,0,0.0,0.0,114.10436520456548,1.0,1.0,0,7.807344773310941e-105,13.526424673912048,13.526424673912048
2025-07-04 12:00:00,21.9,811.0,19.987234270066136,20.0,15.0,0,0.0,0.0,132.58451691862473,1.0,1.0,0,5.233419707861899e-105,16.594862763245526,16.594862763245526
2025-07-04 13:00:00,22.3,789.0,20.498816238466798,20.0,15.0,0,0.0,0.0,147.2511298928253,1.0,1.0,0,3.50806613949781e-105,15.76328242728862,15.76328242728862
2025-07-04 14:00:00,23.3,722.0,21.11843589299104,20.0,15.0,0,0.0,0.0,156.6922703064348,1.0,1.0,0,2.351527056124239e-105,11.85602050466136,11.85602050466136
2025-07-04 15:00:00,23.8,634.0,21.711595773605254,20.0,15.0,0,0.0,0.0,160.77803222885538,1.0,1.0,0,1.5762757245152516e-105,8.406255345523716,8.406255345523716
2025-07-04 16:00:00,24.3,500.0,22.284148761578436,20.0,15.0,0,0.0,0.0,158.28879615824854,1.0,1.0,0,1.0566092162219243e-105,8.294389088584468,8.294389088584468
2025-07-04 17:00:00,24.3,343.0,22.730053476961828,20.0,15.0,0,0.0,0.0,149.21306046016977,1.0,1.0,0,7.082663384595611e-106,12.46592348127127,12.46592348127127
2025-07-04 18:00:00,23.7,174.0,22.944604888320484,20.0,15.0,0,0.0,0.0,134.0293380737336,1.0,1.0,0,4.747651246017067e-106,19.832289461497762,19.832289461497762
